종목코드,회사명,시장구분,연도,fs_div,revenue,operating_income,net_income,total_assets,total_liabilities,total_equity,cfo,cfi,cff
005930,삼성전자,KOSPI,2021,CFS,279604799000000.0,51633856000000.0,39907450000000.0,426621158000000.0,121721227000000.0,304899931000000.0,,,
005930,삼성전자,KOSPI,2022,CFS,302231360000000.0,43376630000000.0,55654077000000.0,448424507000000.0,93674903000000.0,354749604000000.0,,,
005930,삼성전자,KOSPI,2023,CFS,258935494000000.0,6566976000000.0,15487100000000.0,455905980000000.0,92228115000000.0,363677865000000.0,,,
005930,삼성전자,KOSPI,2024,CFS,300870903000000.0,32725961000000.0,34451351000000.0,514531948000000.0,112339878000000.0,402192070000000.0,,,
005930,삼성전자,KOSPI,2025,CFS,333605938000000.0,43601051000000.0,45206805000000.0,566942110000000.0,130621773000000.0,436320337000000.0,,,
000660,SK하이닉스,KOSPI,2021,CFS,42997792000000.0,12410340000000.0,9616188000000.0,96386474000000.0,34195416000000.0,62191058000000.0,,,
000660,SK하이닉스,KOSPI,2022,CFS,44621568000000.0,6809417000000.0,2241669000000.0,103871512000000.0,40580970000000.0,63290542000000.0,,,
000660,SK하이닉스,KOSPI,2023,CFS,32765719000000.0,-7730313000000.0,-9137547000000.0,100330165000000.0,46826413000000.0,53503752000000.0,,,
000660,SK하이닉스,KOSPI,2024,CFS,66192960000000.0,23467319000000.0,19796902000000.0,119855209000000.0,45939505000000.0,73915704000000.0,,,
000660,SK하이닉스,KOSPI,2025,CFS,97146675000000.0,47206319000000.0,42947902000000.0,176107659000000.0,55440908000000.0,120666751000000.0,,,
402340,SK스퀘어,KOSPI,2023,CFS,2276508000000.0,-2339698000000.0,-1314834000000.0,17970008000000.0,2153491000000.0,15816517000000.0,,,
402340,SK스퀘어,KOSPI,2024,CFS,1906611000000.0,3912583000000.0,3650515000000.0,21921051000000.0,2335636000000.0,19585415000000.0,,,
402340,SK스퀘어,KOSPI,2025,CFS,1411521000000.0,8797421000000.0,8818695000000.0,30504546000000.0,2521383000000.0,27983163000000.0,,,
005380,현대차,KOSPI,2021,CFS,117610626000000.0,6678949000000.0,645526000000.0,233946415000000.0,151330626000000.0,82615789000000.0,,,
005380,현대차,KOSPI,2022,CFS,142527535000000.0,9819769000000.0,3701958000000.0,255742462000000.0,164845917000000.0,90896545000000.0,,,
005380,현대차,KOSPI,2023,CFS,162663579000000.0,15126901000000.0,12272301000000.0,282463355000000.0,180653915000000.0,101809440000000.0,,,
005380,현대차,KOSPI,2024,CFS,175231153000000.0,14239592000000.0,13229908000000.0,339798429000000.0,219522496000000.0,120275933000000.0,,,
005380,현대차,KOSPI,2025,CFS,186254472000000.0,11467851000000.0,10364775000000.0,368844849000000.0,241196612000000.0,127648237000000.0,,,
373220,LG에너지솔루션,KOSPI,2021,CFS,17851906000000.0,768470000000.0,929868000000.0,23764137000000.0,15021764000000.0,8742373000000.0,,,
373220,LG에너지솔루션,KOSPI,2022,CFS,25598609000000.0,1213719000000.0,779826000000.0,38299445000000.0,17705683000000.0,20593762000000.0,,,
373220,LG에너지솔루션,KOSPI,2023,CFS,33745470000000.0,2163234000000.0,1637985000000.0,45437144000000.0,21063635000000.0,24373509000000.0,,,
373220,LG에너지솔루션,KOSPI,2024,CFS,25619585000000.0,575387000000.0,338602000000.0,60306791000000.0,29340248000000.0,30966543000000.0,,,
373220,LG에너지솔루션,KOSPI,2025,CFS,23671759000000.0,1346120000000.0,80803000000.0,67147953000000.0,37826277000000.0,29321676000000.0,,,
