종목코드,회사명,시장구분,ticker,현재주가,시가총액,배당수익률,52주최고,52주최저,PER,PBR,ROE,수집시각
005930,삼성전자,KOSPI,005930.KS,276000.0,1812371509084160.0,0.54,299500.0,53700.0,,,0.18855,2026-05-20T21:04:48.459287
000660,SK하이닉스,KOSPI,000660.KS,1745000.0,1238696888107008.0,0.17,1995000.0,196500.0,,,0.61172,2026-05-20T21:04:48.875720
005935,삼성전자우,KOSPI,005935.KS,177800.0,1173183872892928.0,0.82,199000.0,44200.0,,,0.18855,2026-05-20T21:04:49.283437
402340,SK스퀘어,KOSPI,402340.KS,1029000.0,135630931623936.0,0.15,1231000.0,97500.0,,,0.37138999,2026-05-20T21:04:49.691371
005380,현대차,KOSPI,005380.KS,592000.0,155005772365824.0,1.66,774500.0,179300.0,,,0.0754,2026-05-20T21:04:50.115758
373220,LG에너지솔루션,KOSPI,373220.KS,384500.0,89972996571136.0,,527000.0,266000.0,,,0.0026800002,2026-05-20T21:04:50.538435
009150,삼성전기,KOSPI,009150.KS,1061000.0,80155632467968.0,0.24,1133000.0,116200.0,,,0.07784,2026-05-20T21:04:50.966843
329180,HD현대중공업,KOSPI,329180.KS,636000.0,66755338698752.0,1.3,734000.0,370000.0,,,0.18815,2026-05-20T21:04:51.397621
034020,두산에너빌리티,KOSPI,034020.KS,101300.0,64744153153536.0,,139200.0,37100.0,,,0.01733,2026-05-20T21:04:51.811453
012450,한화에어로스페이스,KOSPI,012450.KS,1249000.0,64259534880768.0,0.54,1655000.0,760000.0,,,0.15566,2026-05-20T21:04:52.229590
032830,삼성생명,KOSPI,032830.KS,312000.0,56027332476928.0,1.7,339500.0,87300.0,,,0.04763,2026-05-20T21:04:52.646293
207940,삼성바이오로직스,KOSPI,207940.KS,1337000.0,61891003023360.0,,1987000.0,1300000.0,,,,2026-05-20T21:04:53.166174
028260,삼성물산,KOSPI,028260.KS,370500.0,60626831409152.0,0.74,480000.0,124400.0,,,0.08246,2026-05-20T21:04:53.588246
000270,기아,KOSPI,000270.KS,149400.0,58065210572800.0,4.39,212500.0,86200.0,,,0.1291,2026-05-20T21:04:54.009181
105560,KB금융,KOSPI,105560.KS,151700.0,53806129741824.0,3.01,172500.0,96000.0,,,0.09991,2026-05-20T21:04:54.416231
012330,현대모비스,KOSPI,012330.KS,535000.0,47711613091840.0,1.24,687000.0,240000.0,,,0.07688,2026-05-20T21:04:54.826371
006400,삼성SDI,KOSPI,006400.KS,570000.0,44855371759616.0,0.36,723000.0,157700.0,,,-0.01348,2026-05-20T21:04:55.235983
055550,신한지주,KOSPI,055550.KS,94000.0,44261248598016.0,2.94,107200.0,53200.0,,,0.08635,2026-05-20T21:04:55.865888
068270,셀트리온,KOSPI,068270.KS,179400.0,39149172162560.0,0.41,251000.0,144615.39,,,0.05906,2026-05-20T21:04:56.396478
267260,HD현대일렉트릭,KOSPI,267260.KS,1066000.0,38368222117888.0,0.77,1430000.0,366500.0,,,0.4134,2026-05-20T21:04:56.810753
034730,SK,KOSPI,034730.KS,526000.0,28689033068544.0,1.54,600000.0,136700.0,,,0.02839,2026-05-20T21:04:57.236672
010120,LS ELECTRIC,KOSPI,010120.KS,238500.0,35485305012224.0,0.25,335000.0,47900.0,,,0.14061,2026-05-20T21:04:57.660256
006800,미래에셋증권,KOSPI,006800.KS,62000.0,36071219920896.0,0.45,87800.0,12895.597,,,0.122980006,2026-05-20T21:04:58.083023
042660,한화오션,KOSPI,042660.KS,110500.0,33852535865344.0,,154800.0,71500.0,,,0.22574,2026-05-20T21:04:58.498965
298040,효성중공업,KOSPI,298040.KS,3569000.0,33233603395584.0,0.21,4742000.0,564000.0,,,0.22125,2026-05-20T21:04:58.922081
005490,POSCO홀딩스,KOSPI,005490.KS,417000.0,31533863796736.0,2.16,542000.0,230000.0,,,0.01125,2026-05-20T21:04:59.342291
086790,하나금융지주,KOSPI,086790.KS,115600.0,31012849451008.0,3.97,133700.0,66600.0,,,0.090959996,2026-05-20T21:04:59.767228
035420,NAVER,KOSPI,035420.KS,191500.0,28626342903808.0,1.33,295000.0,181100.0,,,,2026-05-20T21:05:00.183228
066570,LG전자,KOSPI,066570.KS,181000.0,32507458224128.0,0.7,266500.0,68300.0,,,,2026-05-20T21:05:00.605334
009540,HD한국조선해양,KOSPI,009540.KS,399000.0,28215137533952.0,2.28,494500.0,282000.0,,,0.18854,2026-05-20T21:05:01.024108
010130,고려아연,KOSPI,010130.KS,1314000.0,23893140045824.0,1.82,2188000.0,718000.0,,,0.08203,2026-05-20T21:05:01.454007
042700,한미반도체,KOSPI,042700.KS,287500.0,27270238437376.0,0.28,426000.0,78200.0,,,0.34764,2026-05-20T21:05:01.864566
010140,삼성중공업,KOSPI,010140.KS,27650.0,23617257603072.0,,35350.0,14250.0,,,0.13659,2026-05-20T21:05:02.289438
000810,삼성화재,KOSPI,000810.KS,543000.0,23082666295296.0,3.54,646000.0,363000.0,,,0.109519996,2026-05-20T21:05:02.819005
000150,두산,KOSPI,000150.KS,1478000.0,25180881551360.0,0.33,1900000.0,395500.0,,,0.02069,2026-05-20T21:05:03.240947
015760,한국전력,KOSPI,015760.KS,36900.0,23688474787840.0,3.94,69500.0,26700.0,,,0.19114,2026-05-20T21:05:03.652750
051910,LG화학,KOSPI,051910.KS,332000.0,25987335061504.0,0.57,437500.0,181500.0,,,-0.03778,2026-05-20T21:05:04.184683
316140,우리금융지주,KOSPI,316140.KS,30100.0,21905358716928.0,4.55,41500.0,17860.0,,,0.08518,2026-05-20T21:05:04.699242
017670,SK텔레콤,KOSPI,017670.KS,98100.0,20900980195328.0,2.55,108000.0,50400.0,,,,2026-05-20T21:05:05.117482
064350,현대로템,KOSPI,064350.KS,190500.0,20791607427072.0,0.31,282000.0,114800.0,,,0.30625,2026-05-20T21:05:05.542729
267250,HD현대,KOSPI,267250.KS,259000.0,18303124766720.0,1.96,333000.0,82700.0,,,0.1296,2026-05-20T21:05:05.975891
096770,SK이노베이션,KOSPI,096770.KS,115500.0,19301364924416.0,1.84,155400.0,80800.0,,,-0.12923999,2026-05-20T21:05:06.402480
003670,포스코퓨처엠,KOSPI,003670.KS,216500.0,19256848678912.0,0.11,299500.0,98500.0,,,0.009330001,2026-05-20T21:05:06.819763
272210,한화시스템,KOSPI,272210.KS,101600.0,18998515204096.0,0.48,184000.0,41550.0,,,0.053839996,2026-05-20T21:05:07.337915
011200,HMM,KOSPI,011200.KS,19670.0,18553491161088.0,3.53,26250.0,18660.0,,,0.06904,2026-05-20T21:05:07.856902
033780,KT&G,KOSPI,033780.KS,178200.0,18779383791616.0,3.39,189500.0,116100.0,,,0.11801,2026-05-20T21:05:08.368160
079550,LIG디펜스앤에어로스페이스,KOSPI,079550.KS,833000.0,18197092761600.0,0.34,1118000.0,360000.0,,,0.17334,2026-05-20T21:05:08.784812
138040,메리츠금융지주,KOSPI,138040.KS,108200.0,17845012398080.0,1.03,149800.0,99700.0,,,0.21181,2026-05-20T21:05:09.210128
011070,LG이노텍,KOSPI,011070.KS,760000.0,17985026654208.0,0.24,829000.0,137200.0,,,0.08464,2026-05-20T21:05:09.724318
035720,카카오,KOSPI,035720.KS,40150.0,17693457514496.0,0.18,71600.0,36700.0,,,0.03609,2026-05-20T21:05:10.141403
024110,기업은행,KOSPI,024110.KS,20300.0,16187745370112.0,5.09,29550.0,15210.0,,,0.07649,2026-05-20T21:05:10.560850
003550,LG,KOSPI,003550.KS,103100.0,15898349928448.0,2.94,152100.0,66600.0,,,0.03421,2026-05-20T21:05:10.987474
086280,현대글로비스,KOSPI,086280.KS,210500.0,15787499716608.0,2.71,296000.0,105900.0,,,0.17288,2026-05-20T21:05:11.403367
006260,LS,KOSPI,006260.KS,500000.0,13867452203008.0,0.46,587000.0,143700.0,,,0.06692,2026-05-20T21:05:11.897258
047810,한국항공우주,KOSPI,047810.KS,158000.0,15401066954752.0,0.31,215500.0,82250.0,,,0.103360005,2026-05-20T21:05:12.309447
307950,현대오토에버,KOSPI,307950.KS,558000.0,15302099206144.0,0.35,723000.0,131700.0,,,0.10362001,2026-05-20T21:05:12.834993
000720,현대건설,KOSPI,000720.KS,136200.0,15310304313344.0,0.57,198400.0,47100.0,,,0.05652,2026-05-20T21:05:13.241296
278470,에이피알,KOSPI,278470.KS,390000.0,14600880783360.0,1.28,473000.0,107600.0,,,0.75301003,2026-05-20T21:05:13.663239
030200,KT,KOSPI,030200.KS,55800.0,13379266674688.0,4.27,69400.0,48100.0,,,0.08652,2026-05-20T21:05:14.082021
071050,한국금융지주,KOSPI,071050.KS,232500.0,13577247260672.0,3.71,300500.0,95800.0,,,0.21725,2026-05-20T21:05:14.508596
018260,삼성에스디에스,KOSPI,018260.KS,164800.0,12747309842432.0,1.87,212000.0,127100.0,,,0.06582,2026-05-20T21:05:15.027762
010950,S-Oil,KOSPI,010950.KS,110800.0,12899406839808.0,0.3,177100.0,50000.0,,,,2026-05-20T21:05:15.449913
259960,크래프톤,KOSPI,259960.KS,265500.0,11973291933696.0,0.81,391000.0,208500.0,,,0.104720004,2026-05-20T21:05:15.972409
047050,포스코인터내셔널,KOSPI,047050.KS,68200.0,11624313257984.0,2.62,91200.0,45800.0,,,0.09279,2026-05-20T21:05:16.402520
0126Z0,삼성에피스홀딩스,KOSPI,0126Z0.KS,464500.0,11558175375360.0,,773000.0,329000.0,,,,2026-05-20T21:05:16.824742
047040,대우건설,KOSPI,047040.KS,26650.0,10950105104384.0,,40350.0,3320.0,,,-0.23462999,2026-05-20T21:05:17.247181
005940,NH투자증권,KOSPI,005940.KS,30450.0,11425307164672.0,4.19,42600.0,15750.0,,,,2026-05-20T21:05:17.658414
323410,카카오뱅크,KOSPI,323410.KS,21950.0,10458255851520.0,1.92,38750.0,20950.0,,,0.072280005,2026-05-20T21:05:18.179316
005830,DB손해보험,KOSPI,005830.KS,156300.0,9478574440448.0,4.63,214000.0,94200.0,,,,2026-05-20T21:05:18.591093
003230,삼양식품,KOSPI,003230.KS,1357000.0,10120679391232.0,0.37,1665000.0,981000.0,,,0.37023997,2026-05-20T21:05:19.008231
001440,대한전선,KOSPI,001440.KS,52000.0,9660175220736.0,,75900.0,12050.0,,,0.05746,2026-05-20T21:05:19.419352
016360,삼성증권,KOSPI,016360.KS,112700.0,10064109764608.0,3.49,163000.0,54000.0,,,,2026-05-20T21:05:19.836170
443060,HD현대마린솔루션,KOSPI,443060.KS,222000.0,9952557006848.0,1.9,287000.0,147900.0,,,0.33733,2026-05-20T21:05:20.256594
352820,하이브,KOSPI,352820.KS,226500.0,9640726233088.0,0.21,405500.0,222000.0,,,-0.07201,2026-05-20T21:05:20.681697
039490,키움증권,KOSPI,039490.KS,363500.0,9527949787136.0,3.05,517000.0,144200.0,,,0.18049999,2026-05-20T21:05:21.098429
028050,삼성E&A,KOSPI,028050.KS,47400.0,9290400137216.0,1.6,67300.0,20400.0,,,,2026-05-20T21:05:21.519710
003490,대한항공,KOSPI,003490.KS,24800.0,9159418314752.0,2.91,29750.0,21000.0,,,0.057729997,2026-05-20T21:05:21.938358
007660,이수페타시스,KOSPI,007660.KS,121600.0,8926561042432.0,0.19,164400.0,38000.0,,,0.29617,2026-05-20T21:05:22.355465
000880,한화,KOSPI,000880.KS,123000.0,10925171015680.0,0.89,166400.0,49700.0,,,0.045149997,2026-05-20T21:05:22.775670
005387,현대차2우B,KOSPI,005387.KS,248000.0,64934851379200.0,4.02,332000.0,145100.0,,,0.0754,2026-05-20T21:05:23.296366
062040,산일전기,KOSPI,062040.KS,245500.0,7501276250112.0,0.51,341000.0,63700.0,,,0.31248,2026-05-20T21:05:23.843816
267270,HD건설기계,KOSPI,267270.KS,153600.0,7328821673984.0,0.34,217500.0,67400.0,,,0.04674,2026-05-20T21:05:24.250622
161390,한국타이어앤테크놀로지,KOSPI,161390.KS,59300.0,7233932886016.0,3.81,78400.0,37400.0,,,0.07651,2026-05-20T21:05:24.672729
180640,한진칼,KOSPI,180640.KS,109200.0,7348349304832.0,0.32,175900.0,93100.0,,,0.04725,2026-05-20T21:05:25.102920
326030,SK바이오팜,KOSPI,326030.KS,91000.0,7126505750528.0,,144100.0,87900.0,,,0.36173,2026-05-20T21:05:25.524270
000990,DB하이텍,KOSPI,000990.KS,162000.0,6520110579712.0,0.51,199600.0,37550.0,,,0.11901,2026-05-20T21:05:25.940461
064400,LG씨엔에스,KOSPI,064400.KS,71200.0,6898280038400.0,2.47,100800.0,49600.0,,,0.17343001,2026-05-20T21:05:26.361364
009830,한화솔루션,KOSPI,009830.KS,39950.0,7234744483840.0,1.13,59300.0,25700.0,,,,2026-05-20T21:05:26.784162
078930,GS,KOSPI,078930.KS,73900.0,6996494909440.0,3.97,86700.0,39150.0,,,0.05568,2026-05-20T21:05:27.194834
090430,아모레퍼시픽,KOSPI,090430.KS,116100.0,8002397536256.0,1.03,169000.0,115500.0,,,0.04567,2026-05-20T21:05:27.627083
353200,대덕전자,KOSPI,353200.KS,133000.0,6851154935808.0,0.37,149500.0,14350.0,,,0.05371,2026-05-20T21:05:28.045925
032640,LG유플러스,KOSPI,032640.KS,15260.0,6635156668416.0,4.24,18500.0,12580.0,,,0.0571,2026-05-20T21:05:28.460607
000100,유한양행,KOSPI,000100.KS,81500.0,6093275660288.0,0.74,136400.0,80000.0,,,0.08213,2026-05-20T21:05:28.879660
034220,LG디스플레이,KOSPI,034220.KS,12560.0,6279999782912.0,,16800.0,8050.0,,,,2026-05-20T21:05:29.347092
021240,코웨이,KOSPI,021240.KS,88200.0,6185369993216.0,0.77,114700.0,68800.0,,,0.18135999,2026-05-20T21:05:29.759714
454910,두산로보틱스,KOSPI,454910.KS,95500.0,6190308261888.0,,138800.0,45750.0,,,-0.14777,2026-05-20T21:05:30.277817
241560,두산밥캣,KOSPI,241560.KS,64100.0,6135254351872.0,2.53,79700.0,45150.0,,,0.06087,2026-05-20T21:05:30.694573
377300,카카오페이,KOSPI,377300.KS,45350.0,6132419526656.0,,114000.0,29050.0,,,0.02884,2026-05-20T21:05:31.225918
066970,엘앤에프,KOSPI,066970.KS,148500.0,5581591019520.0,,225000.0,47000.0,,,-0.76377,2026-05-20T21:05:31.640475
082740,한화엔진,KOSPI,082740.KS,69600.0,5806417248256.0,,94400.0,24650.0,,,0.36603,2026-05-20T21:05:32.051074
005385,현대차우,KOSPI,005385.KS,248000.0,64934851379200.0,4.04,329000.0,144600.0,,,0.0754,2026-05-20T21:05:32.475644
000500,가온전선,KOSPI,000500.KS,349500.0,5781818703872.0,0.03,635000.0,52600.0,,,0.10965,2026-05-20T21:05:32.903110
036570,NC,KOSPI,036570.KS,260500.0,5072686153728.0,0.43,293000.0,148200.0,,,0.108,2026-05-20T21:05:33.322994
029780,삼성카드,KOSPI,029780.KS,48350.0,5159462109184.0,5.7,69200.0,41600.0,,,0.07214,2026-05-20T21:05:33.733012
271560,오리온,KOSPI,271560.KS,134600.0,5320574763008.0,2.54,150100.0,99000.0,,,0.10435,2026-05-20T21:05:34.155768
128940,한미약품,KOSPI,128940.KS,414500.0,5255948926976.0,0.46,647000.0,267500.0,,,0.14051,2026-05-20T21:05:34.678642
088980,맥쿼리인프라,KOSPI,088980.KS,11030.0,,,12070.0,10940.0,,,,2026-05-20T21:05:35.085386
138930,BNK금융지주,KOSPI,138930.KS,16700.0,5182461575168.0,4.43,23050.0,10170.0,,,0.07469,2026-05-20T21:05:35.515352
010060,OCI홀딩스,KOSPI,010060.KS,277500.0,5165421690880.0,0.34,399000.0,64400.0,,,-0.030569999,2026-05-20T21:05:35.928831
052690,한전기술,KOSPI,052690.KS,135500.0,5154895036416.0,0.96,198000.0,58800.0,,,0.04729,2026-05-20T21:05:36.341350
336260,두산퓨얼셀,KOSPI,336260.KS,77400.0,6102870130688.0,,103800.0,16090.0,,,-0.30657,2026-05-20T21:05:36.765599
001040,CJ,KOSPI,001040.KS,167500.0,5616431529984.0,1.89,235000.0,116700.0,,,0.00821,2026-05-20T21:05:37.189262
004020,현대제철,KOSPI,004020.KS,36400.0,4788264632320.0,1.3,50400.0,23900.0,,,7e-05,2026-05-20T21:05:37.714505
103590,일진전기,KOSPI,103590.KS,100100.0,4772494573568.0,0.48,147900.0,28850.0,,,0.1908,2026-05-20T21:05:38.132683
175330,JB금융지주,KOSPI,175330.KS,24950.0,4623021637632.0,5.03,38500.0,17120.0,,,0.12286,2026-05-20T21:05:38.580252
004170,신세계,KOSPI,004170.KS,494500.0,4335618228224.0,0.26,580000.0,160800.0,,,0.009980001,2026-05-20T21:05:38.994797
011790,SKC,KOSPI,011790.KS,122900.0,4952235704320.0,,184400.0,85241.18,,,-0.39615002,2026-05-20T21:05:39.519334
088350,한화생명,KOSPI,088350.KS,5300.0,3982368440320.0,,7560.0,2525.0,,,0.05865,2026-05-20T21:05:39.947567
022100,포스코DX,KOSPI,022100.KS,29650.0,4501537292288.0,0.4,45600.0,20000.0,,,0.09581,2026-05-20T21:05:40.359543
018880,한온시스템,KOSPI,018880.KS,4355.0,4468800749568.0,,5860.0,2755.0,,,-0.05708,2026-05-20T21:05:40.875540
